id;contest_id;contest_name;contest_description;owner_id;organization;email_id;contact_no;start_date;end_date;is_active;no_of_photos;no_of_participants;winner_id;public_voting
1;98615;Rustic hacking;Group Granite;71624;Pre-emptive sensor database;e-commerce;87223;2021-11-11;2021-11-11;false;9669;43447;plum paradigms Analyst;false
2;79736;dynamic;Team-oriented;82355;Virginia synthesizing Fish;contingency Markets;5151;2021-11-11;2021-11-11;false;42338;7510;state;true
3;68296;Ergonomic Tugrik Stream;Checking Vista capacitor;32433;Re-engineered;Turkmenistan Keyboard e-markets;50498;2021-11-11;2021-11-11;true;1793;6179;algorithm;false
4;80909;green;turn-key Industrial Rubber;45541;Tasty;Cotton Re-contextualized Berkshire;5836;2021-11-11;2021-11-11;false;37774;40890;indigo neural;true
5;41792;Fantastic Beauty;Peso functionalities;24715;Generic Mexican;Market Unbranded;35573;2021-11-11;2021-11-11;true;83291;36543;York incubate;true
6;65872;e-business process;XML Manager;84675;process;project;78903;2021-11-11;2021-11-11;true;8795;12997;Chief;true
7;43138;Toys;Table;46281;Brand;Shoes Account Wooden;648;2021-11-11;2021-11-11;false;54450;55106;transmitting magenta;false
8;35794;frictionless innovate;Cliff metrics Lek;97168;bypassing fresh-thinking;Investment reinvent;79999;2021-11-11;2021-11-11;true;20023;90963;regional;true
9;27148;Clothing Soft;Officer Berkshire Chips;86239;unleash Keyboard redefine;Towels;81950;2021-11-11;2021-11-11;true;7184;20566;Loan Licensed;true
10;20081;Officer Soft;azure;41895;solution withdrawal;Account Alabama;37011;2021-11-11;2021-11-11;true;44414;43992;teal invoice;true
