id;photo_id;user_id;pic_rating;genre;description;in_contest;contest_id
1;84456;86259;42580;(Bouvetoya) Specialist;wireless 9(E.U.A.-9);true;11284
2;93404;9661;9172;Lebanon;Pakistan;true;52792
3;51755;93348;10417;orchid;1080p Toys bypassing;false;56390
4;95468;70837;62614;seize;Frozen clear-thinking Brand;true;69642
5;20594;92495;89882;Berkshire olive;array;false;78487
6;28053;32022;3023;monitoring Tuna;Avon AGP;true;71552
7;56775;95562;97852;middleware;Granite Alabama Steel;false;34557
8;19736;44974;52611;Shoes;portals Armenian;false;94556
9;53125;71162;12191;Analyst;e-enable;false;43885
10;5420;82124;33530;Gorgeous client-driven Pine;Togo;true;12287
